Longitude,Latitude,2%,10%,50%,68%
24.55,39.95,1.3195029,0.7157186,0.21825883,0.13779901
24.55,40.05,0.90558257,0.51607901,0.18957004,0.12669987
24.55,40.15,0.83504494,0.44786434,0.16773824,0.11654338
24.55,40.25,0.73619563,0.39702652,0.15513234,0.10955925
24.55,40.35,0.74103047,0.38558504,0.14748326,0.10303226
24.65,39.75,0.65428145,0.38615345,0.16044714,0.11405822
24.65,39.85,0.88232709,0.50812429,0.18936662,0.12801217
24.65,39.95,1.1393691,0.6141727,0.21236605,0.13680609
24.65,40.05,1.149355,0.62086139,0.20534234,0.13485565
24.65,40.15,0.86998223,0.48618638,0.18497181,0.1269879
24.65,40.25,0.78845657,0.42526881,0.16559001,0.11599379
24.65,40.35,0.78268277,0.4117249,0.15506334,0.10650145
24.65,40.45,0.75535819,0.38333317,0.13577468,0.089542901
24.65,40.55,0.69719161,0.34629393,0.11733067,0.077033147
24.75,39.65,0.52705077,0.29483527,0.12626522,0.093030329
24.75,39.75,0.58186137,0.33363571,0.14539249,0.10542149
24.75,39.85,0.69556782,0.40488234,0.16548172,0.11744394
24.75,39.95,0.9146007,0.51705987,0.19080359,0.13034338
24.75,40.05,1.2066173,0.63998227,0.20661213,0.13810814
24.75,40.15,0.95334165,0.52917879,0.19781803,0.13534056
24.75,40.25,0.83729638,0.45814999,0.18001259,0.12525983
24.75,40.35,0.81691004,0.43545169,0.16379923,0.1111557
24.75,40.45,0.78555665,0.40270372,0.14315122,0.092588265
24.75,40.55,0.72452401,0.36256979,0.12202767,0.078837326
24.75,40.65,0.65596628,0.32255762,0.10766745,0.069188714
24.85,39.55,0.53792184,0.28588522,0.11473525,0.083836657
24.85,39.65,0.54475431,0.29321112,0.12061043,0.088385247
24.85,39.75,0.56673094,0.3136103,0.13248573,0.097394698
24.85,39.85,0.59778119,0.3452179,0.15020346,0.10883702
24.85,39.95,0.71820459,0.41571494,0.17202245,0.12277831
24.85,40.05,0.94535778,0.52571073,0.19861101,0.13750812
24.85,40.15,1.0163896,0.55818145,0.20622838,0.14212363
24.85,40.25,0.83199561,0.472047,0.19086545,0.13217165
24.85,40.35,0.83313105,0.44917783,0.17052392,0.11497583
24.85,40.45,0.80729348,0.41800683,0.14966998,0.097046781
24.85,40.55,0.75313516,0.38011167,0.12831608,0.081883084
24.85,40.65,0.68351435,0.33816528,0.112075,0.071956224
24.85,40.75,0.61115499,0.29761778,0.098852831,0.063320187
24.95,39.35,0.60989857,0.30693576,0.1129178,0.08146751
24.95,39.45,0.70722693,0.32301398,0.11271933,0.081468927
24.95,39.55,0.61030725,0.30663969,0.11425281,0.082870048
24.95,39.65,0.61478737,0.31095807,0.11880214,0.08629667
24.95,39.75,0.6519157,0.32952832,0.12723109,0.092622391
24.95,39.85,0.57584956,0.32496951,0.14073253,0.10370505
24.95,39.95,0.63736422,0.3720557,0.16241615,0.1181132
24.95,40.05,0.78063526,0.45235851,0.19110834,0.13661657
24.95,40.15,1.0134838,0.56690851,0.21233895,0.14728113
24.95,40.25,0.86149842,0.49750698,0.20265681,0.1396857
24.95,40.35,0.83721851,0.46128867,0.18109732,0.12264429
24.95,40.45,0.82583057,0.43310309,0.15791115,0.10444372
24.95,40.55,0.77982995,0.39781144,0.13659356,0.086572029
24.95,40.65,0.71163251,0.3545852,0.1174441,0.07521511
24.95,40.75,0.63748284,0.31192953,0.10374909,0.065665152
24.95,40.85,0.56481479,0.27123797,0.089955034,0.058846204
24.95,40.95,0.4982008,0.23665558,0.080200716,0.054137583
25.05,39.15,0.68929819,0.34243661,0.12259492,0.087624676
25.05,39.25,0.60190682,0.311875,0.11700291,0.084159857
25.05,39.35,0.59107165,0.30168602,0.11365699,0.082116376
25.05,39.45,0.60691696,0.30566341,0.11269354,0.081547328
25.05,39.55,0.70898992,0.32661693,0.11403545,0.082472096
25.05,39.65,0.61440036,0.31701627,0.11792448,0.085255631
25.05,39.75,0.78022546,0.36032174,0.12559499,0.090657521
25.05,39.85,0.67674592,0.35329109,0.13893534,0.10162726
25.05,39.95,0.62832367,0.3641319,0.15997793,0.11687541
25.05,40.05,0.73825855,0.43347354,0.18926692,0.13752604
25.05,40.15,1.0685005,0.59143237,0.21997166,0.15214955
25.05,40.25,1.0459221,0.59142793,0.22219485,0.1523047
25.05,40.35,0.87648334,0.49706495,0.20447448,0.14055106
25.05,40.45,0.8478626,0.45239853,0.17132493,0.11475559
25.05,40.55,0.80162469,0.41295667,0.14658132,0.093449024
25.05,40.65,0.73936412,0.37119091,0.12373556,0.078739718
25.05,40.75,0.66460077,0.32701655,0.10796777,0.068486757
25.05,40.85,0.58950757,0.28579593,0.094011397,0.060673841
25.05,40.95,0.52244135,0.2486872,0.082981963,0.055391021
25.05,41.05,0.50113378,0.22610494,0.075422017,0.051437768
25.05,41.15,0.46353845,0.20566822,0.06932633,0.048164585
25.15,38.15,0.52015075,0.27697948,0.10819765,0.078101369
25.15,38.25,0.53961789,0.287012,0.11364473,0.082682584
25.15,38.35,0.56441085,0.29978795,0.11957835,0.087432254
25.15,38.45,0.58329152,0.31057971,0.12453476,0.09141515
25.15,38.95,0.62098883,0.3327111,0.13268139,0.096909994
25.15,39.05,0.66752548,0.34700202,0.13047416,0.094036682
25.15,39.15,0.71771285,0.36008744,0.12757406,0.091062946
25.15,39.25,0.67090645,0.33609397,0.12155055,0.087073804
25.15,39.35,0.59423712,0.30487676,0.11569624,0.083667116
25.15,39.45,0.56013735,0.29241842,0.11309408,0.082182174
25.15,39.55,0.64913034,0.31228863,0.11345236,0.08237456
25.15,39.65,0.64573855,0.31816528,0.11663547,0.084529056
25.15,39.75,0.65973325,0.33778453,0.12400453,0.089563767
25.15,39.85,0.84815885,0.40079031,0.13845724,0.10041339
25.15,39.95,0.70006381,0.39101711,0.16190192,0.11750758
25.15,40.05,0.7306337,0.43150546,0.19185005,0.14084198
25.15,40.15,1.0104714,0.58398383,0.22955895,0.15955755
25.15,40.25,1.0691536,0.6131437,0.25142671,0.1669985
25.15,40.35,0.91155452,0.53165897,0.22090388,0.1547579
25.15,40.45,0.86869498,0.47491434,0.1904395,0.13043774
25.15,40.55,0.82109545,0.42743315,0.15514404,0.10267351
25.15,40.65,0.76567003,0.3874866,0.13096911,0.083056596
25.15,40.75,0.69126037,0.34222312,0.11260535,0.071752186
25.15,40.85,0.61420154,0.29921372,0.098490428,0.062681284
25.15,40.95,0.54722375,0.26125409,0.086008929,0.056739085
25.15,41.05,0.52355064,0.23589518,0.077516135,0.052824374
25.15,41.15,0.46720418,0.21105667,0.071324374,0.049292289
25.15,41.25,0.42550158,0.19587676,0.067656332,0.047570901
25.25,37.85,0.49218819,0.24193378,0.087756149,0.06349773
25.25,37.95,0.55924804,0.27718189,0.09739437,0.069343046
25.25,38.05,0.57807844,0.29398712,0.10624681,0.07563727
25.25,38.15,0.57303497,0.29773011,0.11235157,0.080607142
25.25,38.25,0.55822623,0.2961846,0.11726696,0.08532388
25.25,38.35,0.57068967,0.30501229,0.12288958,0.09017571
25.25,38.45,0.59782098,0.31934695,0.12862224,0.094744507
25.25,38.55,0.64081465,0.33979599,0.13482066,0.099337755
25.25,38.65,0.71377259,0.36448042,0.14009879,0.103126
25.25,38.75,0.69645476,0.36118297,0.14160487,0.10402336
25.25,38.85,0.65253552,0.34864949,0.14092901,0.10384397
25.25,38.95,0.62680836,0.33741869,0.13751778,0.10158765
25.25,39.05,0.65111321,0.34325538,0.13399789,0.097671474
25.25,39.15,0.7253325,0.36276098,0.13156642,0.094557716
25.25,39.25,0.69018216,0.34921239,0.12685194,0.090944093
25.25,39.35,0.62022561,0.31593565,0.11973899,0.086602755
25.25,39.45,0.55179445,0.28923065,0.11450781,0.083574649
25.25,39.55,0.56376816,0.29028138,0.11307971,0.082693699
25.25,39.65,0.65404838,0.3088208,0.11511072,0.084025872
25.25,39.75,0.59825273,0.31299434,0.12135027,0.08839833
25.25,39.85,0.71833874,0.36429937,0.1352951,0.098493168
25.25,39.95,0.82878897,0.42034755,0.15947287,0.11490478
25.25,40.05,0.76906615,0.44438835,0.19339465,0.14124346
25.25,40.15,0.99962566,0.58781228,0.2369501,0.16479504
25.25,40.25,1.1441302,0.6636884,0.27951797,0.17903891
25.25,40.35,0.93005236,0.55827381,0.23414109,0.16432128
25.25,40.45,0.87894494,0.4906047,0.20572595,0.14520567
25.25,40.55,0.83736209,0.44140292,0.16510728,0.11068565
25.25,40.65,0.78736778,0.40192722,0.13920663,0.088267569
25.25,40.75,0.71602376,0.35677946,0.1175129,0.074939575
25.25,40.85,0.63774976,0.31223798,0.10312364,0.064771279
25.25,40.95,0.56712251,0.27282069,0.089108729,0.058110837
25.25,41.05,0.53529832,0.24420114,0.079621905,0.053773204
25.25,41.15,0.48462416,0.21762685,0.073212457,0.050305452
25.25,41.25,0.42897572,0.1983585,0.068684024,0.048235867
25.25,41.35,0.41955624,0.19225239,0.06669004,0.047269577
25.25,41.45,0.42378011,0.19333174,0.066043913,0.046796258
25.25,41.55,0.43191543,0.19729399,0.066272106,0.046663246
25.25,41.65,0.44456032,0.20391201,0.06734566,0.046936055
25.25,41.75,0.45923417,0.21127585,0.06894668,0.047479999
25.25,41.85,0.47380185,0.21864573,0.070569404,0.048027995
25.25,41.95,0.48608544,0.22424929,0.071641337,0.048268562
25.25,42.05,0.48748132,0.22514839,0.071671432,0.047934499
25.35,37.75,0.43669366,0.21445853,0.082456588,0.060894778
25.35,37.85,0.47800281,0.23413449,0.087454191,0.063908079
25.35,37.95,0.56218503,0.27718071,0.098576958,0.070701879
25.35,38.05,0.61337135,0.30839594,0.1092406,0.077563905
25.35,38.15,0.61691018,0.31426836,0.11595056,0.082948731
25.35,38.25,0.62670339,0.32543047,0.12357204,0.089088497
25.35,38.35,0.61504827,0.32509597,0.12839196,0.093829046
25.35,38.45,0.63687741,0.33492104,0.13240233,0.097413967
25.35,38.55,0.71259584,0.36523426,0.13994009,0.10291895
25.35,38.65,0.72334837,0.37469486,0.14419793,0.10508478
25.35,38.75,0.65565918,0.35339465,0.14423376,0.10568137
25.35,38.85,0.63989913,0.34478383,0.14278194,0.10531764
25.35,38.95,0.63999027,0.34407607,0.14194011,0.10474282
25.35,39.05,0.63110737,0.33979357,0.13857097,0.10244487
25.35,39.15,0.67720986,0.35277705,0.13568516,0.098640293
25.35,39.25,0.71208738,0.3595638,0.13281369,0.095632585
25.35,39.35,0.62940719,0.32715503,0.12585749,0.091165487
25.35,39.45,0.56112792,0.29515412,0.11810897,0.086420014
25.35,39.55,0.53605376,0.28203849,0.11395537,0.08380052
25.35,39.65,0.5677641,0.28874778,0.11412818,0.083941182
25.35,39.75,0.58570399,0.29695732,0.11856708,0.087212813
25.35,39.85,0.5796699,0.31496387,0.12965449,0.095555019
25.35,39.95,0.7405956,0.38263015,0.15177253,0.11005417
25.35,40.05,0.80202706,0.4502306,0.1894678,0.13736531
25.35,40.15,0.99693531,0.58572099,0.23826544,0.16607938
25.35,40.25,1.1931949,0.6961083,0.29697709,0.18749985
25.35,40.35,1.0170358,0.60919146,0.25181704,0.17352919
25.35,40.45,0.87257728,0.49917683,0.21430278,0.15243638
25.35,40.55,0.85067935,0.45660103,0.17810054,0.12139016
25.35,40.65,0.80465664,0.41370499,0.14699267,0.09404878
25.35,40.75,0.73842636,0.370264,0.1223753,0.077578113
25.35,40.85,0.66026669,0.32502785,0.10639568,0.066805067
25.35,40.95,0.58555972,0.2843134,0.092162166,0.059419592
25.35,41.05,0.53733234,0.25045804,0.081610581,0.054642805
25.35,41.15,0.50469681,0.22364121,0.074547934,0.051099992
25.35,41.25,0.43118858,0.19910931,0.069155929,0.048549331
25.35,41.35,0.41776785,0.19176694,0.066878915,0.047463973
25.35,41.45,0.42260671,0.19272744,0.06606399,0.046895182
25.35,41.55,0.42894707,0.19555547,0.065918178,0.04652111
25.35,41.65,0.44015239,0.20135276,0.066639269,0.046570446
25.35,41.75,0.45372021,0.2083319,0.067922663,0.0469114
25.35,41.85,0.46730936,0.21510105,0.069235522,0.047274864
25.35,41.95,0.47496268,0.21911626,0.070032766,0.047376628
25.35,42.05,0.47642273,0.21955543,0.069885917,0.046983129
25.35,42.15,0.47117339,0.21601319,0.068213658,0.045543664
25.45,37.65,0.44008054,0.21786383,0.083854979,0.061969181
25.45,37.75,0.43653602,0.21572811,0.083417844,0.061723169
25.45,37.85,0.46179492,0.22808783,0.087340031,0.064350404
25.45,37.95,0.55132786,0.27126706,0.098816944,0.071647206
25.45,38.05,0.62898169,0.31609545,0.11178162,0.079412976
25.45,38.15,0.65108176,0.33152103,0.12040509,0.085777123
25.45,38.25,0.66172368,0.34209334,0.12862276,0.092483467
25.45,38.35,0.65938722,0.34469017,0.1335518,0.097212581
25.45,38.45,0.69554848,0.35907182,0.13780072,0.1008616
25.45,38.55,0.71281213,0.37412557,0.14411695,0.10472977
25.45,38.65,0.72972233,0.38365117,0.14765658,0.10715422
25.45,38.75,0.66050687,0.35866647,0.1468363,0.10739348
25.45,38.85,0.64436005,0.34826049,0.14554081,0.10700785
25.45,38.95,0.63941744,0.3447265,0.14453714,0.10647955
25.45,39.05,0.64696572,0.34823157,0.1444207,0.10587461
25.45,39.15,0.64882896,0.34976029,0.14178394,0.10372616
25.45,39.25,0.68864087,0.36356929,0.14054683,0.1016524
25.45,39.35,0.65537204,0.34566008,0.13477849,0.097668604
25.45,39.45,0.57421002,0.30591566,0.12414615,0.091078022
25.45,39.55,0.54414072,0.28659542,0.11684406,0.086110427
25.45,39.65,0.53075029,0.27841888,0.1141464,0.08435919
25.45,39.75,0.53444331,0.28075753,0.11660187,0.086388041
25.45,39.85,0.53175636,0.29285442,0.12534574,0.093173147
25.45,39.95,0.60079617,0.33421651,0.14538704,0.10635976
25.45,40.05,0.75294095,0.42082846,0.1775128,0.12872673
25.45,40.15,0.96176294,0.56523124,0.23212507,0.16285701
25.45,40.25,1.2071288,0.7079069,0.3017258,0.19121437
25.45,40.35,1.1667808,0.69511268,0.27566928,0.18301489
25.45,40.45,0.85488311,0.50348276,0.22155453,0.158496
25.45,40.55,0.8646823,0.47107572,0.19014436,0.13152904
25.45,40.65,0.81895928,0.4236924,0.15225769,0.099346546
25.45,40.75,0.75774515,0.38220603,0.12682441,0.079956352
25.45,40.85,0.68666294,0.3389335,0.10943645,0.0686408
25.45,40.95,0.60970822,0.29591383,0.095034914,0.060601688
25.45,41.05,0.54385279,0.25661581,0.083410148,0.055414118
25.45,41.15,0.51034515,0.22738295,0.075594474,0.051794545
25.45,41.25,0.43513104,0.20089932,0.069755926,0.04887644
25.45,41.35,0.41805819,0.19178274,0.067096421,0.047633813
25.45,41.45,0.42211413,0.19186299,0.066020032,0.046940997
25.45,41.55,0.42628224,0.19363496,0.065544563,0.046388767
25.45,41.65,0.43557378,0.19855233,0.065921351,0.046211488
25.45,41.75,0.44846877,0.20560341,0.066872896,0.046316062
25.45,41.85,0.46807641,0.21294427,0.067863304,0.04648032
25.45,41.95,0.47297273,0.21582843,0.068374855,0.046430944
25.45,42.05,0.4669214,0.21448519,0.068025058,0.045945135
25.45,42.15,0.46024297,0.21033392,0.066319505,0.044569511
25.45,42.25,0.43960012,0.20028475,0.062867994,0.042250357
25.45,42.35,0.40307818,0.1828975,0.058383039,0.039546305
25.55,37.65,0.44629885,0.22316637,0.085826019,0.063321937
25.55,37.75,0.44062313,0.22001914,0.085151892,0.062963322
25.55,37.85,0.46378078,0.23039131,0.088434598,0.06530864
25.55,37.95,0.54060863,0.26674281,0.098886039,0.072396913
25.55,38.05,0.62030285,0.31188343,0.11251087,0.080510771
25.55,38.15,0.65865308,0.33675509,0.12328719,0.088054283
25.55,38.25,0.68129735,0.35225494,0.13254816,0.09544232
25.55,38.35,0.70588987,0.36899752,0.14094229,0.10213804
25.55,38.45,0.74413437,0.38628961,0.14581749,0.1050787
25.55,38.55,0.69062574,0.37170322,0.14738795,0.10682335
25.55,38.65,0.7806737,0.39997428,0.15036122,0.10880176
25.55,38.75,0.71695466,0.38409457,0.15080025,0.10969659
25.55,38.85,0.65620625,0.35674027,0.14837653,0.10894701
25.55,38.95,0.64549845,0.34971787,0.14734189,0.10851181
25.55,39.05,0.64341156,0.34954876,0.14718506,0.10805683
25.55,39.15,0.66767927,0.36436052,0.14851933,0.10772666
25.55,39.25,0.72001571,0.39006886,0.14954133,0.10701599
25.55,39.35,0.67769459,0.36941675,0.14597245,0.10493941
25.55,39.45,0.61890609,0.33230506,0.13468472,0.098718078
25.55,39.55,0.57038126,0.30085366,0.1219754,0.089802252
25.55,39.65,0.52640182,0.27811801,0.1152242,0.08528076
25.55,39.75,0.51117604,0.27383902,0.1161274,0.086237976
25.55,39.85,0.52966839,0.2882478,0.12360124,0.091928427
25.55,39.95,0.5664652,0.31652635,0.13985591,0.1039592
25.55,40.05,0.64517579,0.37625992,0.16571869,0.12071672
25.55,40.15,0.89863626,0.52672275,0.2226108,0.15788011
25.55,40.25,1.1243394,0.6655382,0.2952068,0.19001178
25.55,40.35,1.1211222,0.667203,0.29621901,0.19053318
25.55,40.45,0.88167461,0.52900643,0.23053502,0.16378969
25.55,40.55,0.86489316,0.47743935,0.1975254,0.13737435
25.55,40.65,0.82898237,0.43109682,0.15639472,0.10331158
25.55,40.75,0.77312397,0.39197014,0.13062838,0.081956493
25.55,40.85,0.71997339,0.35373818,0.11211128,0.070228205
25.55,40.95,0.63786312,0.30813044,0.097601069,0.061639728
25.55,41.05,0.56054339,0.26385846,0.084987982,0.056096186
25.55,41.15,0.50498286,0.22916413,0.076523865,0.052450536
25.55,41.25,0.43356706,0.2013818,0.07040353,0.049261247
25.55,41.35,0.41769774,0.19162417,0.067344467,0.047838401
25.55,41.45,0.4201559,0.19080689,0.065960372,0.046974201
25.55,41.55,0.42248279,0.19174371,0.065184088,0.04623347
25.55,41.65,0.43075905,0.19615038,0.065250896,0.045855425
25.55,41.75,0.44612278,0.20390234,0.065892991,0.045767583
25.55,41.85,0.47458444,0.21158983,0.066526946,0.04569016
25.55,41.95,0.4726159,0.212981,0.066772299,0.045499838
25.55,42.05,0.45775204,0.209699,0.066225285,0.044916277
25.55,42.15,0.45017943,0.20510635,0.064525833,0.043638633
25.55,42.25,0.42952793,0.19446355,0.061073121,0.041215855
25.55,42.35,0.39219381,0.17738699,0.05684905,0.038681254
25.65,37.55,0.48930126,0.24405818,0.091530262,0.067110129
25.65,37.65,0.46695909,0.23490214,0.088767575,0.065157486
25.65,37.75,0.45492583,0.22959977,0.087825053,0.064686236
25.65,37.85,0.48367163,0.23886552,0.090312688,0.066659961
25.65,37.95,0.53376356,0.26182881,0.098680763,0.072974463
25.65,38.05,0.59869456,0.30328671,0.11258284,0.081259924
25.65,38.15,0.66231191,0.34026094,0.12587601,0.090259995
25.65,38.25,0.69206521,0.35924583,0.13617076,0.098446461
25.65,38.35,0.71701348,0.37638369,0.14545671,0.10497068
25.65,38.45,0.77006779,0.40082113,0.15104423,0.10860045
25.65,38.55,0.72692218,0.39037557,0.15261159,0.11000962
25.65,38.65,0.73633259,0.39565677,0.1534712,0.11083649
25.65,38.75,0.82164558,0.41786818,0.15501305,0.11192882
25.65,38.85,0.69279092,0.37660682,0.15265464,0.11151966
25.65,38.95,0.65638724,0.35751255,0.15051381,0.11074264
25.65,39.05,0.65877828,0.35877049,0.15082834,0.11068837
25.65,39.15,0.74627366,0.40361383,0.15720235,0.11296986
25.65,39.25,0.8945394,0.46172904,0.16108672,0.11338196
25.65,39.35,0.78617773,0.42314356,0.15735325,0.11151986
25.65,39.45,0.67062777,0.364189,0.14679979,0.10605056
25.65,39.55,0.66846372,0.34221597,0.13126011,0.095926895
25.65,39.65,0.56075949,0.29458297,0.11933617,0.087982144
25.65,39.75,0.53657679,0.28550597,0.11847596,0.087549974
25.65,39.85,0.57648704,0.30156027,0.12472,0.092068144
25.65,39.95,0.59477388,0.32097431,0.13805483,0.10265645
25.65,40.05,0.63925994,0.36595372,0.16118771,0.11740146
25.65,40.15,0.835843,0.48881955,0.21316858,0.15289661
25.65,40.25,1.1064898,0.6523294,0.28172597,0.18508272
25.65,40.35,1.1763123,0.6977446,0.31346379,0.19525227
25.65,40.45,0.93967832,0.57059076,0.24281822,0.16946683
25.65,40.55,0.86492008,0.48388675,0.20350717,0.14131203
25.65,40.65,0.83460326,0.43600365,0.1593414,0.10516443
25.65,40.75,0.78163153,0.3980159,0.13345374,0.083473644
25.65,40.85,0.7419928,0.36410561,0.1141517,0.071510597
25.65,40.95,0.65500343,0.3163926,0.099581072,0.062494316
25.65,41.05,0.56829215,0.26782633,0.086177472,0.056660889
25.65,41.15,0.49646215,0.22942488,0.077246961,0.05290904
