wkt_geom,Station,Name,lat,lon,Elevation,Basin_Area
Point (29.06670000000000087 37.91669999999999874),D07A059,ÇÜRÜKSUYUKARIŞAMLI,37.9167,29.0667,160,1726
Point (28.57999999999999829 37.80499999999999972),D07A061,DANDALAS ÇAYI . BEŞDEĞİRMENLER,37.805,28.58,199,589
Point (29.9886000000000017 38.50359999999999872),D07A052,GÖMÜ D. ÇEVREPINAR,38.5036,29.9886,980,275
Point (29.98939999999999984 38.50500000000000256),D07A052,GÖMÜ D. ÇEVREPINAR,38.505,29.9894,980,275
Point (28.31439999999999912 37.81280000000000285),D07A070,AKÇAY REGÜLATÖR ÇIKIŞI,37.8128,28.3144,55,3810
Point (29.43329999999999913 38.04999999999999716),D07A071,BÜYÜK MENDERES N. YUKARI SEYİTLER,38.05,29.4333,758,4203
Point (27.71669999999999945 37.81669999999999732),D07A062,BÜYÜK MENDERES N. KOÇARLI KÖPRÜSÜ,37.8167,27.7167,17,22653
Point (29.19999999999999929 38.14999999999999858),D07A065,BÜYÜK MENDERES N. ADIGÜZEL,38.15,29.2,307,9006
Point (26.37079999999999913 38.57169999999999987),D06A028,DERİNCE D. KÜÇÜKBAHÇE,38.5717,26.3708,8,30
Point (26.3747000000000007 38.57169999999999987),D06A028,DERİNCE D. KÜÇÜKBAHÇE,38.5717,26.3747,8,30
Point (28.06670000000000087 38.08859999999999957),D06A026,PİRINÇCI Ç. BADEMLİ,38.0886,28.0667,250,38
Point (27.68669999999999831 38.25110000000000099),D06A027,ILICA D. ERGENLİ,38.2511,27.6867,140,57
Point (29.18580000000000041 38.23029999999999973),D06A033,KİRAZ Ç. KİRAZ,38.2303,29.1858,351,114
Point (28.19359999999999999 38.2342000000000013),D06A033,KĠRAZ Ç. KĠRAZ,38.2342,28.1936,351,114
Point (26.42780000000000129 38.466700000000003),D06A029,CAMİBOGAZI D. KARAREİS ÇIFTL.,38.4667,26.4278,5,59
Point (26.42719999999999914 38.4819000000000031),D06A029,CAMİBOGAZI D. KARAREİS ÇIFTL.,38.4819,26.4272,5,59
Point (27.30079999999999885 37.75),D06A019,ELEKÇİ DERESİ DAVUTLAR,37.75,27.3008,37,9
Point (26.86670000000000158 38.1875),D06A024,GELİNALAN D. SEFERHİSAR,38.1875,26.8667,60,14
Point (27.29889999999999972 37.73279999999999745),D06A018,ARAPASTAN DERESİ DAVUTLAR,37.7328,27.2989,63,11
Point (27.30940000000000012 37.74969999999999715),D06A019,ELEKÇİ DERESİ DAVUTLAR,37.7497,27.3094,49,9
Point (27.55359999999999943 38.24139999999999873),D06A025,ULADİ Ç. YAKAPINAR,38.2414,27.5536,120,69
Point (28.06609999999999872 38.08420000000000272),D06A026,PİRINÇCI Ç. BADEMLİ,38.0842,28.0661,250,38
Point (26.86080000000000112 38.18999999999999773),D06A024,GELİNALAN D. SEFERHİSAR,38.19,26.8608,60,14
Point (27.5517000000000003 38.23559999999999803),D06A025,ULADİ Ç. YAKAPINAR,38.2356,27.5517,120,69
Point (27.90170000000000172 38.05469999999999686),D06A042,VAKIFLARDERESİ EĞRİDERE,38.0547,27.9017,380,21
Point (27.00779999999999959 38.39419999999999789),D06A043,ALİONBAŞIDERESİ NARLIDERE,38.3942,27.0078,40,15
Point (27.01389999999999958 38.09250000000000114),D06A040,ŞEYTANDERE KOCAKAYA,38.0925,27.0139,63,16
Point (27.45860000000000056 38.27309999999999945),D06A041,DEĞİRMENDERE KARAKIZLAR,38.2731,27.4586,262,16
Point (27.47530000000000072 38.32110000000000127),D06A046,CEVİZLİDERE CUMALI,38.3211,27.4753,326,10.4
Point (26.44279999999999831 38.50529999999999831),D06A047,SUDEĞİRMENİ DERESI YAYLAKÖY,38.5053,26.4428,38,42.84
Point (27.03470000000000084 38.38389999999999702),D06A044,ILICADERE BALÇOVA,38.3839,27.0347,185,35
Point (27.41639999999999944 37.959699999999998),D06A045,MADEN DERESİ BAHÇELER,37.9597,27.4164,90,12.15
Point (27.89420000000000144 38.06580000000000297),D06A034,KIZILKAYA D. YENİSEHİR,38.0658,27.8942,312,15
Point (27.41969999999999885 38.34749999999999659),D06A035,AĞLIKDERE VİŞNELİ,38.3475,27.4197,40,3
